,request,id,n
1750,статьи про гормоны плаценты,[886],1
1751,влияние гормонов на развитие мозга,[886],1
1752,влияние интернета на подростков,[887],1
1753,причины зависимости подростков от интернета,[887],1
1754,статьи про улучшение видеонаблюдения,[888],1
1755,современные технологии в сфере безопасности,[888],1
1756,оптоволоконные технологии в биологии,[890],1
1757,звуки тараканов,[890],1
1758,исследования ожирения у детей,[891],1
1759,факторы риска ожирения у детей,[891],1
1760,предложения по предотвращению глобального потепления,[892],1
1761,посадка лесов для борьбы с изменением кли,[892],1
1762,приложения для оказания первой помощи,[893],1
1763,технологии виртуальной реальности в медицине,[893],1
1764,перспективные материалы для гаджетов,[894],1
1765,ультратонкие гаджеты,[894],1
1766,открытия в области темной материи,[895],1
1767,галактики из темной материи,[895],1
1768,достижения в 3D-печати,[896],1
1769,технологии в производстве зубных протезов,[896],1
1770,технологии в производстве йогурта,[897],1
1771,снижение себестоимости йогурта,[897],1
1772,транзитный метод астрономии,[898],1
1773,поиск внеземных цивилизаций,[898],1
1774,эксперименты с 3D-очками на животных,[899],1
1775,биология богомолов,[899],1
1776,статьи о лазерном свете,[900],1
1777,экзотические состояния лазерного света,[900],1
1778,статьи про навигацию насекомых по звездам,[901],1
1779,исследования австралийских бабочек,[901],1
1780,опасные ягоды и грибы,[903],1
1781,"растения, которые нельзя собирать",[903],1
1782,связь между уровнем кислорода и магнитным полем Земли,[904],1
1783,история магнитного поля Земли,[904],1
1784,статьи о повторном использовании интерфейсов,[905],1
1785,привыкание к новой версии интерфейса,[905],1
1786,статьи про интернет в отдаленных районах,[906],1
1787,технологии для обеспечения стабильного интернета,[906],1
1788,связь между ходьбой и болью в пояснице,[907],1
1789,методы лечения боли в пояснице,[907],1
1790,сверхмассивные черные дыры,[908],1
1791,процессы в черных дырах,[908],1
1792,статьи о «человеке-драконе»,[909],1
1793,научные открытия в области биологии,[909],1
1794,миграция людей из Африки,[910],1
1795,экологическая гибкость в археологии,[910],1
1796,кометы из Облака Оорта,[911],1
1797,газовые выбросы комет вблизи Нептуна,[911],1
1798,новые находки в области палеонтологии,[912],1
1799,предки тираннозавров,[912],1
1800,статьи про кожную слизь аксолотля,[913],1
1801,исследования в области борьбы с раком,[913],1
1802,галактика Скульптор,[914],1
1803,планетарные туманности в космосе,[914],1
1804,гендерные стереотипы,[915],1
1805,предвзятость в отношении молодых женщин,[915],1
1806,статьи о сокращении потребления электроэнергии,[916],1
1807,технологии в добыче нефти,[916],1
1808,технологии для предотвращения обрушения горных пород,[917],1
1809,виртуальная скважина,[917],1
1810,тюркское происхождение гуннов,[918],1
1811,лингвистические исследования гуннов,[918],1
1812,статьи про аккумуляторы электробусов,[919],1
1813,новости от российских ученых,[919],1
1814,достижения в физике спорта,[920],1
1815,оптимизация игровых стратегий в баскетболе,[920],1
1816,статьи про искусственные органы,[921],1
1817,новости от российских ученых,[921],1
1818,новости про палеонтологию,[922],1
1819,названия животных в честь литературных персонажей,[922],1
1820,отключенные спутники,[923],1
1821,внезапные радиосигналы,[923],1
1822,статьи о верованиях в теории заговоров,[924],1
1823,самонадеянность верующих,[924],1
1824,прогнозирование свойств магнитных материалов,[925],1
1825,алгоритмы в материаловедении,[925],1
1826,новости про формирующееся «солнце»,[926],1
1827,лед в космосе,[926],1
1828,планеты для поиска жизни в космосе,[927],1
1829,астробиология и поиск жизни,[927],1
1830,хлебный напиток без глютена,[928],1
1831,польза и вред кваса,[928],1
1832,статьи про восстановление десен,[929],1
1833,генная терапия в стоматологии,[929],1
1834,археологические находки в Волгоградской области,[930],1
1835,использование краски неандертальцами,[930],1
1836,особенности генетики полевых мышей,[931],1
1837,исследования паразитов в городских парках,[931],1
1838,статьи про молекулярные фильмы,[932],1
1839,каталитические реакции на атомном уровне,[932],1
1840,статьи про листья лопуха,[934],1
1841,применение лопуха в медицине,[934],1
1842,статьи о массовом исходе ученых из США,[935],1
1843,причины массового исхода ученых из США,[935],1
1844,открытия в области нейтронных звезд,[936],1
1845,гамма-всплески и черные дыры,[936],1
1846,статьи о быстрых радиовсплесках,[937],1
1847,недостающее вещество Вселенной,[937],1
1848,статьи про пауков-кружевников,[938],1
1849,способы защиты от пауков-кружевников,[938],1
1850,статьи про выращивание человеческих органов в животных,[939],1
1851,новости в области регенеративной медицины,[939],1
1852,достижения в протезировании сетчатки,[940],1
1853,технологии нанопроводов в медицине,[940],1
1854,статьи о теплопроводности ядра Земли,[941],1
1855,новые открытия в геофизике,[941],1
1856,аномальные радиосигналы из-подо льдов Антарктиды,[942],1
1857,стандартная модель физики частиц,[942],1
1858,открытия в глубоководном канале южной Атлантики,[943],1
1859,исследования российских ученых,[943],1
1860,статьи про восстановление легких после операций,[944],1
1861,новости в области трансплантологии,[944],1
1862,статьи о кожном секрете ослов,[945],1
1863,средства от клещей в природе,[945],1
1864,статьи про искусственный интеллект в подборе кадров,[946],1
1865,преимущества и риски использования ИИ,[946],1
1866,экскурсии в Новгороде,[947],1
1867,виртуальная реальность в экскурсиях,[947],1
1868,инновации в производстве топлива,[948],1
1869,инновации в фармацевтической промышленности,[948],1
1870,достижения в создании углеродных композитов,[949],1
1871,новости про углеродные материалы,[949],1
1872,еда в древнеримской Полленции,[950],1
1873,взаимоотношения между певчими дроздами и люд,[950],1
1874,новости про астрономические открытия,[951],1
1875,столкновение галактик и их последствия,[951],1
1876,новости из Канадской Арктики,[952],1
1877,ископаемые останки хищных рыб,[952],1
1878,статьи о строительном материале для планет,[953],1
1879,новости про астрономические открытия,[953],1
1880,статьи про электросудорожную терапию,[954],1
1881,депрессия и риск самоубийства,[954],1
1882,почему птицы поют на рассвете,[955],1
1883,исследования птичьего вокала,[955],1
1884,статьи о роевом интеллекте,[956],1
1885,муравьи и добыча,[956],1
1886,статьи о вреде искусственных подсластителей,[957],1
1887,влияние подсластителей на мозг,[957],1
1888,статистика разводов по политическим убеждениям,[958],1
1889,влияние политических взглядов на брак,[958],1
1890,статьи о вулканах на Марсе,[959],1
1891,новости о геологии Марса,[959],1
1892,статьи про женскую привлекательность,[960],1
1893,гендерные различия в привлекательности,[960],1
1894,генетика и марафон,[961],1
1895,соотношение пальцев и спортивные достижения,[961],1
1896,история сарматов в Европе,[962],1
1897,скифы и сарматы,[962],1
1898,статьи о влиянии массовых расстрелов на экономику,[963],1
1899,экономические последствия массовых убийств,[963],1
1900,прогнозирование болезни Альцгеймера,[964],1
1901,достижения российских ученых в медицине,[964],1
1902,климатические изменения на Европе,[965],1
1903,влияние взрывов сверхновых на климат,[965],1
1904,реакция мозга при просмотре спорта,[966],1
1905,психология болельщиков в спорте,[966],1
1906,лунная пыль в строительстве,[967],1
1907,лазерные технологии в астронавтике,[967],1
1908,квантовая механика и генерация случайных чисел,[968],1
1909,случайность в физике,[968],1
1910,статистика количества войн в мире,[969],1
1911,новости о росте военных конфликтов,[969],1
1912,статьи про релятивистские джеты,[970],1
1913,молчание «тихой» галактики,[970],1
1914,фотографии котиков в соцсетях,[971],1
1915,влияние фотографий на атмосферу в соц,[971],1
1916,статьи про георадар,[972],1
1917,вулкан Эбеко на Камчатке,[972],1
1918,компьютерные игры на основе литературных произведений,[973],1
1919,игры по мотивам произвед,[973],1
1920,статьи о сахарах из морских огурцов,[974],1
1921,перспективные методы лечения рака,[974],1
1922,статьи про радиационное облучение материалов,[975],1
1923,применение радиации в производстве лаков и клеев,[975],1
1924,статьи про психологическое здоровье россиян,[976],1
1925,влияние санкций на психическое здоровье,[976],1
1926,статьи про лазеры в медицине,[977],1
1927,методы предотвращения поломки лазеров,[977],1
1928,достижения в физике света,[978],1
1929,управление скоростью света,[978],1
1930,экзопланеты с силикатными облаками,[979],1
1931,открытия «Джеймса Уэбба»,[979],1
1932,влияние TikTok на уход за кожей,[980],1
1933,статьи о вреде ухода за кожей,[980],1
1934,факторы риска слабоумия,[981],1
1935,влияние окружающей среды на здоровье,[981],1
1936,статьи о причинах пожаров в России,[983],1
1937,влияние курения на окружающую среду,[983],1
1938,авиадвигатели и вибрации,[984],1
1939,прогнозы разрушения авиадвигателей,[984],1
1940,статьи о теориях струн,[985],1
1941,новости в физике высоких энергий,[985],1
1942,экосистемы морского дна Антарктики,[986],1
1943,влияние судовых якорей на окружающую сред,[986],1
1944,роль облачных сервисов в современном мире,[987],1
1945,влияние облачных технологий на бизнес,[987],1
1946,технологии облачных вычислений,[988],1
1947,роль искусственного интеллекта в облаках,[988],1
1948,разработки в области медицинского образования,[989],1
1949,тренажеры для врачей-рентгенологов,[989],1
1950,влияние стресса на сердечный ритм,[990],1
1951,физиология футбольных фанатов,[990],1
1952,использование отходов угледобычи в строительстве,[991],1
1953,новые материалы для строительства,[991],1
1954,высказывания отца Илона Маска,[992],1
1955,планы Илона Маска по колонизации Марса,[992],1
1956,открытия в области динозавров,[993],1
1957,содержимое желудка у динозавров,[993],1
1958,новости про солнечные батареи,[994],1
1959,экологические аспекты производства солнечных батарей,[994],1
1960,статьи про сельхозтехнику,[995],1
1961,применение жиров для защиты от ржавчины,[995],1
1962,связь между курением и употреблением каннабиса,[996],1
1963,статистика употребления каннабиса,[996],1
1964,статьи о самообеспечении продовольствием,[997],1
1965,мировые запасы продовольствия,[997],1
1966,статьи про искусственный интеллект в медицине,[998],1
1967,прогнозирование сердечной недостаточности,[998],1
1968,технологии очистки сточных вод,[999],1
1969,использование отходов для очистки сточных вод,[999],1
1970,статьи про соединения технеция,[1000],1
1971,применение технеция в медицине и квантовых технологиях,[1000],1
1972,"статьи о животных, обучающихся новым навыкам",[1001],1
1973,поведение птиц в городах,[1001],1
1974,изменения в финансировании NASA,[1002],1
1975,перспективы ядерных двигателей в космосе,[1002],1
1976,достижения в солнечной энергетике,[1003],1
1977,срок службы солнечных батарей,[1003],1
1978,открытия в области космологии,[1004],1
1979,астрономические новости,[1004],1
1980,исследования поведения павианов,[1005],1
1981,научные открытия в поведенческой антропологии,[1005],1
1982,новости про технологии строительства,[1006],1
1983,технологии «мокрого фасада»,[1006],1
1984,достижения в обучении нейросетей,[1007],1
1985,упрощение обучения нейросетей,[1007],1
1986,новости про борьбу с раком,[1008],1
1987,методы лечения рака с использованием света,[1008],1
1988,достижения в области оптических устройств,[1009],1
1989,уменьшение потерь света,[1009],1
1990,статьи про постельных клопов,[1010],1
1991,"насекомые, зависящие от человека",[1010],1
1992,статьи про зонды NASA,[1011],1
1993,неожиданные применения научных достижений,[1011],1
1994,обитаемые зоны в космосе,[1012],1
1995,поиск жизни на других планетах,[1012],1
1996,связь между противозачаточными таблетками и инсультом,[1013],1
1997,риск криптогенного ин,[1013],1
1998,статьи про микоплазменную пневмонию,[1014],1
1999,связь между микоплазменной пневмони,[1014],1
2000,статьи о материалах для ремонта жилья,[1015],1
2001,советы по выбору материалов для ремонта,[1015],1
2002,статьи про оптимизацию нефтедобычи,[1016],1
2003,выбор реагентов в нефтяной промышленности,[1016],1
2004,вероятность столкновения галактик,[1017],1
2005,Андромеда и Млечный Путь,[1017],1
2006,статьи про ускорение химических реакций,[1018],1
2007,достижения российских химиков,[1018],1
2008,запасы платины на Луне,[1019],1
2009,добыча редких металлов в космосе,[1019],1
2010,функции гиппокампа в памяти,[1020],1
2011,процессы запоминания и воспоминания,[1020],1
2012,достижения в технологиях добычи сланцевой нефти,[1021],1
2013,сотрудничество России и Китая,[1021],1
2014,археологические находки в Старой Руссе,[1022],1
2015,3D-модели исторических зданий,[1022],1
2016,стоматологические операции,[1023],1
2017,хирургический набор для стоматологов,[1023],1
2018,планы по заражению Энцелада,[1024],1
2019,астробиология Энцелада,[1024],1
2020,генетические эксперименты с дрозофилами,[1025],1
2021,влияние кокаина на дрозофил,[1025],1
2022,исследования физиологии насекомых,[1026],1
2023,механизмы восприятия силы у насекомых,[1026],1
2024,открытия в физике,[1027],1
2025,сверхрассеяние Крекера,[1027],1
2026,статьи о космической погоде,[1028],1
2027,технологии мониторинга космического пространства,[1028],1
2028,ультрагорячие экзопланеты,[1029],1
2029,атмосфера WASP-121b,[1029],1
2030,статьи о поведении тетерок,[1030],1
2031,предпочтения самцов в спаривании,[1030],1
2032,достижения российских ученых в сельском хозяйстве,[1031],1
2033,улучшение урожайности редиса,[1031],1
2034,подростковая мотивация в образовании,[1032],1
2035,сравнение школы и колледжа,[1032],1
2036,генетика древних цивилизаций,[1033],1
2037,генетика майя Копана,[1033],1
2038,влияние почвы на добычу нефти,[1034],1
2039,статьи о нефти и почве,[1034],1
2040,статьи про сверхновые звезды,[1035],1
2041,звездные семьи в Млечном Пути,[1035],1
2042,открытия в области гравитационных волн,[1036],1
2043,кандидаты в промежуточные черные ды,[1036],1
2044,статьи о зевании у животных,[1037],1
2045,социальное поведение гамадрилов,[1037],1
2046,генетика мурлыканья у кошек,[1038],1
2047,исследования мурлыканья у кошек,[1038],1
2048,история проказы в Америке,[1039],1
2049,распространение проказы в древние времена,[1039],1
2050,"грибок, уничтоживший летучих мышей",[1040],1
2051,грибы из Украины,[1040],1
2052,статьи про использование отходов в строительстве,[1041],1
2053,инновации в асфальтировании,[1041],1
2054,археологические находки в Туве,[1042],1
2055,сокровища скифов,[1042],1
2056,новости про разработки российских ученых,[1043],1
2057,технологии в добыче нефти,[1043],1
2058,вегетарианство и менопауза,[1044],1
2059,преимущества веганства,[1044],1
2060,статьи о смерти Солнца,[1045],1
2061,влияние Солнца на спутники Юпитера,[1045],1
2062,археологические находки в пещерах Европы,[1046],1
2063,использование китовой кости в древности,[1046],1
2064,статьи про модификацию белков в медицине,[1047],1
2065,достижения российских ученых в медицине,[1047],1
2066,статьи про запуск Starship,[1048],1
2067,неудачные запуски Starship,[1048],1
2068,климатические испытания элементов комплексов uST,[1049],1
2069,белорусские инженеры климатические испытания,[1049],1
2070,статьи про лечение рака с помощью света,[1050],1
2071,платиновые препараты в медицине,[1050],1
2072,статьи о моллюсках,[1051],1
2073,новости про ископаемые остатки,[1051],1
2074,влияние солнечной активности на спутники,[1052],1
2075,проблемы с орбитальными спутниками Starlink,[1052],1
2076,статьи про математические модели в медицине,[1053],1
2077,прогнозирование клеточного поведения,[1053],1
2078,гипотетическая девятая планета,[1054],1
2079,астрономические открытия последних лет,[1054],1
2080,сезон тополиного пуха,[1055],1
2081,советы от ученых по сезону тополиного пух,[1055],1
2082,статьи о насекомых и паутине,[1056],1
2083,использование воска в экзоскелете,[1056],1
2084,испытания Starship,[1057],1
2085,новости о космических запусках,[1057],1
2086,археологические открытия,[1058],1
2087,древнейшие отпечатки человеческих пальцев,[1058],1
2088,достижения в квантовой гравитации,[1059],1
2089,искривление пространства-времени,[1059],1
2090,объекты возле Венеры,[1060],1
2091,потенциальные опасности для Земли,[1060],1
2092,связь глобального потепления с раком,[1061],1
2093,статистика рака у женщин,[1061],1
2094,статьи про пузырьки в крови,[1062],1
2095,научные открытия в области гематологии,[1062],1
2096,проекты связей в Сибири,[1063],1
2097,Белоруссия и Россия в энергетике,[1063],1
2098,статьи про ПО от российских разработчиков,[1064],1
2099,ПО для снижения убытков бизнеса,[1064],1
2100,статьи о билингвизме,[1065],1
2101,изучение языков у билингвов,[1065],1
2102,достижения российских ученых в сельском хозяйстве,[1066],1
2103,улучшение урожайности удобрениями,[1066],1
2104,прогнозирование розничных продаж,[1067],1
2105,алгоритмы для прогнозирования продаж,[1067],1
2106,исследования поведения шимпанзе,[1068],1
2107,способы общения шимпанзе,[1068],1
2108,обломочные диски в космосе,[1069],1
2109,следы водяного льда в космосе,[1069],1
2110,статьи о взаимодействии галлов с растениями,[1070],1
2111,защита насекомых от лесного пожара,[1070],1
2112,экзопланеты с лунами,[1071],1
2113,потенциально обитаемые экзопланеты,[1071],1
2114,адаптация планктона к окружающей среде,[1072],1
2115,исследования мембран планктона,[1072],1
2116,космические лучи ультравысоких энергий,[1073],1
2117,влияние черных дыр на космическое,[1073],1
2118,струнный транспорт,[1074],1
2119,логистика Алматы,[1074],1
2120,исторические вымыслы,[1075],1
2121,британские крепости,[1075],1
2122,экологичные методы очистки побережья Черного моря,[1076],1
2123,новости из Перми,[1076],1
2124,статьи про рентгеновское излучение в искусственных молниях,[1077],1
2125,исследования российских физиков,[1077],1
2126,влияние карьеры в alma mater на молодых ученых,[1078],1
2127,продолжение карьеры в alma mater,[1078],1
2128,статистика пациентов с хроническими заболеваниями,[1079],1
2129,портрет пациента с хроническими заболев,[1079],1
2130,новости про 3D-печать,[1080],1
2131,материалы для 3D-печати,[1080],1
2132,магнитные аномалии на Луне,[1081],1
2133,открытия в физике Луны,[1081],1
2134,прогнозирование течения рака печени,[1082],1
2135,разработка тест-систем в Сеченовском Универ,[1082],1
2136,новости про астрономические открытия,[1083],1
2137,уникальные астрономические явления,[1083],1
2138,открытия в области сверхпроводников,[1084],1
2139,сверхпроводники с собственным магнетизмом,[1084],1
2140,открытия в Солнечной системе,[1085],1
2141,кандидаты в карликовые планеты,[1085],1
2142,статьи о тайных мусульманах в испанской империи,[1086],1
2143,генетика и история,[1086],1
2144,статьи про диагностику сердца у декоративных кроликов,[1087],1
2145,достижения в ветеринарной медицине,[1087],1
2146,влияние остроты пищи на аппетит,[1088],1
2147,исследования аппетита в кулинарии,[1088],1
2148,молодые звезды и галактики,[1089],1
2149,спутники Млечного Пути,[1089],1
2150,раковые клетки в тесноте,[1090],1
2151,агрессивность раковых клеток,[1090],1
2152,сериал «Одни из нас»,[1091],1
2153,вероятность появления зомби в реальности,[1091],1
2154,статьи про яд пауков,[1092],1
2155,зоологические исследования ядовитых животных,[1092],1
2156,методы поиска площадок для продаж в соцсетях,[1093],1
2157,инновации в маркетинге в,[1093],1
2158,новости про эволюцию рыб,[1094],1
2159,функции первых зубов у рыб,[1094],1
2160,статьи про буллинг в школах,[1095],1
2161,психологические особенности агрессора и жертвы,[1095],1
2162,генетические исследования у свиней,[1096],1
2163,дефекты на конечностях у свиней,[1096],1
2164,достижения в лазерной технике,[1097],1
2165,лазеры размером с пылинку,[1097],1
2166,поиск подледного океана на Европе,[1098],1
2167,следы выхода воды на поверхность,[1098],1
2168,новости про двигатели для беспилотников,[1099],1
2169,инновации в области беспилотников,[1099],1
2170,новости про горбатого кита,[1100],1
2171,зрение горбатого кита,[1100],1
2172,роли квазаров в космических событиях,[1101],1
2173,космические события и квазары,[1101],1
2174,изменения в поведении самок фрегатов,[1102],1
2175,физиология самцов и самок фрегатов,[1102],1
2176,статьи про бессонницу,[1103],1
2177,влияние личностных особенностей на сон,[1103],1
2178,предупреждения о ядерной зиме,[1104],1
2179,готовность к ядерной зиме,[1104],1
2180,статьи о карликовых галактиках,[1105],1
2181,неизвестные силы в космосе,[1105],1
2182,статьи о городских ястребах,[1106],1
2183,поведение ястребов в городских условиях,[1106],1
2184,проблемы в работе студентов в команде,[1107],1
2185,психологические барьеры в командной работе,[1107],1
2186,изменения в привычках подростков в Европе,[1108],1
2187,новости про подростковую жизнь в Европе,[1108],1
2188,инновации в городской инфраструктуре,[1109],1
2189,транспортные системы для городов-спутников,[1109],1
2190,статьи про энергоэффективные технологии,[1110],1
2191,методы очистки промышленных растворителей,[1110],1
2192,статьи про фазовые переходы,[1111],1
2193,влияние шума на физические процессы,[1111],1
2194,исследования рассеянного склероза,[1112],1
2195,иммунная система и рассеянный склероз,[1112],1
2196,влияние социальных сетей на общение подростков,[1113],1
2197,исследования в области психологии подростков,[1113],1
2198,технологии переработки сточных вод,[1114],1
2199,использование сточных вод в сельском хозяйстве,[1114],1
2200,статьи про роботов-помощников в промышленности,[1115],1
2201,инновации из Пермского края,[1115],1
2202,статьи про социальное доверие,[1116],1
2203,влияние социального статуса на доверие,[1116],1
2204,статьи про регенерацию хрящевой ткани,[1117],1
2205,достижения в медицине,[1117],1
2206,статьи про авиационные детали,[1118],1
2207,методы продления срока службы титановых детал,[1118],1
2208,инновации в области беспилотного транспорта,[1119],1
2209,санатории в Белоруссии,[1119],1
2210,связь между культуризмом и сердечно-сосудистыми заболеваниями,[1120],1
2211,риск внезап,[1120],1
2212,новости про наномагниты,[1121],1
2213,перспективные технологии компьютерной науки,[1121],1
2214,статьи про энергопотребление в добыче нефти,[1122],1
2215,проекты пермских ученых,[1122],1
2216,студийная запись в МТУСИ,[1123],1
2217,технологии студийной записи,[1123],1
2218,статьи о мегалитических храмах Мальты,[1124],1
2219,древние технологии навигации,[1124],1
2220,симптомы воспаления легочных артерий,[1125],1
2221,нарушения работы волосков в бронхах,[1125],1
2222,разработки в области беспилотных автомобилей,[1126],1
2223,системы радарной ориентации,[1126],1
2224,статьи про психологию перфекционизма,[1127],1
2225,влияние перфекционизма на психическое здоровье,[1127],1
2226,редкие растения в Арктике,[1128],1
2227,редкие растения на Урале,[1128],1
2228,статьи про куркуму и зеленый чай,[1129],1
2229,влияние куркумы и зеленого чая на организм,[1129],1
2230,случаи глотания магнитов у детей,[1130],1
2231,статистика глотания магнитов,[1130],1
2232,статьи про стенды для диагностики топливных форсунок,[1131],1
2233,достижения пермских инженеров,[1131],1
2234,наркотики в поп-музыке,[1132],1
2235,алкоголь в поп-музыке,[1132],1
2236,водное происхождение темных полос на Марсе,[1133],1
2237,планетология темных полос на Марсе,[1133],1
2238,статьи про автоматизацию диагностики электронных устройств,[1134],1
2239,разработки в области программного обеспечения,[1134],1
2240,новости про химические реакции метиленового синего,[1135],1
2241,открытия химиков,[1135],1
2242,статьи про безопасность пестицидов,[1136],1
2243,методы измерения концентрации химических веществ,[1136],1
2244,статьи про деление ресурсов между предприятиями,[1137],1
2245,достижения российских ученых в экономике,[1137],1
2246,цифровые тесты для оценки навыков чтения,[1138],1
2247,оценка навыков чтения у взрослых,[1138],1
2248,новости про разработку языков программирования,[1139],1
2249,языки программирования в Перми,[1139],1
2250,статьи про социальный статус мышей,[1140],1
2251,исследования запаха в социальных взаимодействиях мышей,[1140],1
2252,миграция динозавров в Северную Америку,[1141],1
2253,миграция индейцев в,[1141],1
2254,темная материя и астрономия,[1142],1
2255,исследования темной материи,[1142],1
2256,новости про поведение капуцинов,[1143],1
2257,киднеппинг у животных,[1143],1
2258,статьи про 3D-принтеры,[1144],1
2259,разработки в области 3D-печати в России,[1144],1
2260,исследования лунного ядра,[1145],1
2261,температуры на поверхности Луны,[1145],1
2262,статьи о применении кислорода в материаловедении,[1146],1
2263,дефекты в двумерных материалах,[1146],1
2264,исследования в области стимуляции мозга,[1147],1
2265,механизмы запоминания новых слов,[1147],1
2266,программы для строительства в плотной застройке,[1148],1
2267,безопасное строительство в Перми,[1148],1
2268,археологические находки ранних рептилий,[1149],1
2269,отпечатки конечностей в геологических формациях,[1149],1
2270,исследования в «чистых» помещениях NASA,[1150],1
2271,новые виды бактерий в NASA,[1150],1
2272,влияние переездов на получение Нобелевки,[1151],1
2273,статистика Нобелевских лауреатов,[1151],1
2274,статьи о гипотезе Бострома,[1152],1
2275,новости про симуляции в информатике,[1152],1
2276,темные звезды в ранней Вселенной,[1153],1
2277,кандидаты в темные звезды,[1153],1
2278,эпоха антропоцена,[1154],1
2279,геологические свидетельства голоцена,[1154],1
2280,влияние эмоций на внешность человека,[1155],1
2281,статьи про пермские ученые,[1155],1
2282,влияние переработки на мозг,[1156],1
2283,анатомические изменения после переработки,[1156],1
2284,космическая погода и климат экзопланет,[1157],1
2285,приливный захват в космосе,[1157],1
2286,новости про Урал,[1158],1
2287,новые виды рыб в России,[1158],1
2288,статьи про скручивание пространства-времени,[1159],1
2289,достижения в теоретической физике,[1159],1
2290,новости про палеонтологические открытия,[1160],1
2291,трехглазые морские существа,[1160],1
2292,достижения в области электроники,[1161],1
2293,перспективные решения для будущей электроники,[1161],1
2294,статьи про авиадвигатели,[1162],1
2295,перспективные разработки в авиаиндустрии,[1162],1
2296,медицина у шимпанзе,[1163],1
2297,история развития медицины у приматов,[1163],1
2298,статьи про создание золота на БАК,[1164],1
2299,достижения в физике элементов,[1164],1
2300,статьи про фламинго,[1165],1
2301,физика добычи пищи у птиц,[1165],1
2302,статьи про звездные останки,[1166],1
2303,новости в области астрофизики,[1166],1
2304,статьи о количестве данных для искусственного интеллекта,[1167],1
2305,исследования в области искусственного интеллекта,[1167],1
2306,программы для выбора регионов в России,[1168],1
2307,советы по выбору регионов для проживания,[1168],1
2308,языки лезгинских народов,[1169],1
2309,история числительных,[1169],1
2310,гипотезы о сфере Дайсона,[1170],1
2311,поиски сферы Дайсона,[1170],1
2312,новости про моду на «Оземпик»,[1171],1
2313,статьи про пермские ученые,[1171],1
2314,почему пальцы морщатся в воде,[1172],1
2315,исследования морщания пальцев в воде,[1172],1
2316,новости про вакцины от аллергии,[1173],1
2317,аллергия на кошек,[1173],1
2318,статьи о воде на Марсе,[1174],1
2319,новости о поисках воды на Марсе,[1174],1
2320,статьи о восприятии ИИ коллегами,[1175],1
2321,влияние ИИ на рабочую атмосферу,[1175],1
2322,технологии в челюстно-лицевой хирургии,[1176],1
2323,выпуск новых имплантатов в России,[1176],1
2324,статьи про инновации в медицине,[1177],1
2325,технологии для осмотра кровеносных сосудов,[1177],1
2326,статьи о пробиотиках,[1178],1
2327,влияние пробиотиков на развитие рыб,[1178],1
2328,новости про синтезирование лекарств,[1179],1
2329,перспективные анальгетики,[1179],1
2330,программы для биореакторов,[1180],1
2331,быстрый расчет параметров биореактора,[1180],1
2332,исследования языка шимпанзе,[1181],1
2333,сходство между языком шимпанзе и человеческой реч,[1181],1
2334,достижения в области фотодетекторов,[1182],1
2335,безбатарейные технологии,[1182],1
2336,влияние рекламы нездоровой пищи на детей,[1183],1
