request,id,n,search_20_none,search_10_none,search_20_rerank,search_10_rerank,search_20_other,search_10_other,search_20_trained,search_10_trained
новости про атмосферы звезд,[5117],1,"[5711, 1927, 1157, 5203, 5117, 2489, 6826, 2363, 5085, 4774, 3319, 6542, 2339, 7056, 7045, 4761, 1250, 174, 4966, 134]","[5711, 1927, 1157, 5203, 5117, 2489, 6826, 2363, 5085, 4774]","[5117, 174, 5711, 6770, 7737, 4950, 2339, 68, 1927, 1157, 7645, 1447, 4513, 6542, 6085, 1196, 2489, 7112, 2350, 7811]","[5117, 174, 5711, 6770, 7737, 4950, 2339, 68, 1927, 1157]","[5117, 174, 7645, 7737, 5086, 5711, 1157, 4673, 5259, 8208, 7045, 5217, 5712, 4761, 68, 1196, 1927, 6770, 2489, 7811]","[5117, 174, 7645, 7737, 5086, 5711, 1157, 4673, 5259, 8208]","[5117, 7645, 7737, 174, 6542, 1196, 1927, 1157, 4798, 2339, 6462, 7034, 8087, 19, 5217, 2350, 1822, 7056, 3094, 4982]","[5117, 7645, 7737, 174, 6542, 1196, 1927, 1157, 4798, 2339]"
уральские научные достижения,[5157],1,"[5468, 5049, 5337, 2508, 6386, 6334, 8031, 6053, 6829, 7795, 6284, 4172, 5384, 4892, 4581, 5157, 5144, 5765, 3192, 7382]","[5468, 5049, 5337, 2508, 6386, 6334, 8031, 6053, 6829, 7795]","[8021, 5337, 5049, 8231, 5468, 5144, 5989, 7795, 5765, 5384, 3192, 8258, 6843, 6053, 8031, 6675, 6829, 265, 2762, 6386]","[8021, 5337, 5049, 8231, 5468, 5144, 5989, 7795, 5765, 5384]","[8021, 5049, 8231, 5384, 5337, 6386, 8031, 5468, 7923, 6308, 5144, 3240, 5765, 4581, 3872, 7880, 5157, 6009, 5496, 1644]","[8021, 5049, 8231, 5384, 5337, 6386, 8031, 5468, 7923, 6308]","[6829, 7382, 8031, 5468, 5049, 3872, 8231, 6843, 6334, 4172, 6046, 2081, 8128, 7795, 6053, 5144, 1743, 6650, 3192, 4892]","[6829, 7382, 8031, 5468, 5049, 3872, 8231, 6843, 6334, 4172]"
генетика коренного населения Японии,[2741],1,"[2741, 1033, 345, 5211, 7952, 7101, 4660, 8216, 5948, 1524, 7167, 8131, 2940, 3571, 7349, 8046, 6333, 679, 7476, 7412]","[2741, 1033, 345, 5211, 7952, 7101, 4660, 8216, 5948, 1524]","[2741, 5948, 7101, 7952, 4671, 7443, 7476, 3571, 3551, 8211, 1086, 910, 7776, 1900, 1524, 7412, 2572, 7349, 8131, 1584]","[2741, 5948, 7101, 7952, 4671, 7443, 7476, 3571, 3551, 8211]","[5211, 5948, 2741, 8216, 7412, 1524, 3583, 7069, 7952, 910, 7101, 1479, 7776, 7336, 8211, 6838, 6465, 7084, 7349, 1584]","[5211, 5948, 2741, 8216, 7412, 1524, 3583, 7069, 7952, 910]","[4671, 8010, 7166, 3480, 1414, 7428, 910, 2158, 5449, 3888, 4660, 5448, 6333, 316, 2238, 1735, 2741, 2121, 1853, 6779]","[4671, 8010, 7166, 3480, 1414, 7428, 910, 2158, 5449, 3888]"
распространение омикрона по миру,[7161],1,"[5729, 4055, 7775, 4896, 139, 7298, 1431, 3191, 1549, 2425, 1933, 3025, 6823, 5392, 2976, 4264, 618, 3819, 5499, 2628]","[5729, 4055, 7775, 4896, 139, 7298, 1431, 3191, 1549, 2425]","[5729, 8098, 1431, 6823, 6918, 1933, 6701, 6845, 7161, 5, 5392, 7532, 981, 7717, 272, 4896, 4055, 7094, 3819, 6430]","[5729, 8098, 1431, 6823, 6918, 1933, 6701, 6845, 7161, 5]","[5729, 7717, 4055, 5592, 3025, 6430, 7044, 6013, 6876, 5376, 7298, 4896, 3850, 405, 6823, 8098, 6689, 3031, 1431, 2758]","[5729, 7717, 4055, 5592, 3025, 6430, 7044, 6013, 6876, 5376]","[5729, 7717, 4055, 5536, 1431, 3560, 6876, 618, 5278, 6823, 4518, 4568, 672, 7952, 981, 2628, 5907, 5, 2044, 997]","[5729, 7717, 4055, 5536, 1431, 3560, 6876, 618, 5278, 6823]"
защита от болезни Альцгеймера,[5041],1,"[6237, 5041, 2303, 1409, 5675, 4566, 2213, 687, 592, 1641, 2094, 2590, 6886, 7539, 4214, 5424, 964, 279, 5653, 1405]","[6237, 5041, 2303, 1409, 5675, 4566, 2213, 687, 592, 1641]","[2303, 4978, 5041, 5675, 279, 687, 6237, 964, 5713, 4067, 3523, 2213, 6886, 405, 2590, 3706, 5479, 1641, 5199, 3658]","[2303, 4978, 5041, 5675, 279, 687, 6237, 964, 5713, 4067]","[279, 5675, 5041, 2303, 6886, 6237, 687, 964, 1641, 2590, 3523, 2094, 3819, 1496, 1405, 1409, 4566, 7753, 791, 7374]","[279, 5675, 5041, 2303, 6886, 6237, 687, 964, 1641, 2590]","[964, 5041, 6886, 4566, 279, 1405, 2303, 687, 592, 6237, 1409, 5675, 612, 6209, 5424, 1641, 3523, 5541, 2094, 209]","[964, 5041, 6886, 4566, 279, 1405, 2303, 687, 592, 6237]"
достижения в токарной обработке,[1806],1,"[3916, 6461, 6330, 488, 1665, 5781, 5109, 4221, 2142, 7354, 4106, 283, 358, 4511, 7617, 6966, 6381, 2833, 7158, 6403]","[3916, 6461, 6330, 488, 1665, 5781, 5109, 4221, 2142, 7354]","[634, 3916, 475, 2069, 35, 2161, 5109, 2709, 6719, 6405, 6330, 2833, 2299, 3759, 4249, 2724, 7354, 251, 2142, 4]","[634, 3916, 475, 2069, 35, 2161, 5109, 2709, 6719, 6405]","[5196, 2833, 73, 1665, 251, 4519, 3047, 6679, 358, 3916, 159, 6671, 35, 4973, 2762, 2429, 2299, 4511, 4805, 634]","[5196, 2833, 73, 1665, 251, 4519, 3047, 6679, 358, 3916]","[4624, 6138, 730, 4249, 5196, 2724, 5516, 7089, 6719, 283, 4056, 1735, 2833, 358, 2299, 7217, 5157, 4511, 7158, 4973]","[4624, 6138, 730, 4249, 5196, 2724, 5516, 7089, 6719, 283]"
новости в области микологии,[3185],1,"[4356, 7338, 7506, 3031, 6826, 1251, 1977, 5185, 4460, 5559, 1466, 1334, 5438, 7298, 6263, 7545, 7262, 2628, 8156, 4595]","[4356, 7338, 7506, 3031, 6826, 1251, 1977, 5185, 4460, 5559]","[8156, 5609, 5471, 2166, 6263, 5185, 1977, 543, 1933, 6278, 7347, 1466, 1405, 1251, 4595, 3031, 83, 2483, 4460, 7983]","[8156, 5609, 5471, 2166, 6263, 5185, 1977, 543, 1933, 6278]","[1466, 4460, 2166, 6927, 1251, 4595, 5559, 1933, 6278, 1977, 2739, 7073, 144, 1483, 3831, 2687, 5008, 5840, 7338, 847]","[1466, 4460, 2166, 6927, 1251, 4595, 5559, 1933, 6278, 1977]","[5559, 2166, 1483, 2897, 7262, 3976, 8156, 7506, 4460, 1466, 6735, 2096, 7328, 3031, 3947, 2179, 5793, 4595, 1431, 5840]","[5559, 2166, 1483, 2897, 7262, 3976, 8156, 7506, 4460, 1466]"
генетические исследования в Сибири,[5571],1,"[6422, 7776, 5484, 6625, 161, 6904, 4208, 3624, 6572, 3393, 6334, 1782, 1853, 6284, 5160, 5568, 3629, 233, 2940, 7105]","[6422, 7776, 5484, 6625, 161, 6904, 4208, 3624, 6572, 3393]","[7776, 161, 6422, 7019, 6625, 5484, 7324, 1086, 628, 3629, 1371, 6334, 4094, 6624, 6904, 233, 1782, 3958, 7105, 1853]","[7776, 161, 6422, 7019, 6625, 5484, 7324, 1086, 628, 3629]","[7776, 6904, 6334, 3393, 6422, 6625, 6203, 4172, 6663, 6219, 5211, 628, 6284, 8216, 6094, 4094, 5568, 6624, 7105, 6270]","[7776, 6904, 6334, 3393, 6422, 6625, 6203, 4172, 6663, 6219]","[7776, 847, 6663, 3624, 6422, 2276, 7019, 4172, 6094, 4398, 6904, 1371, 628, 1442, 6334, 5568, 5484, 290, 3629, 4941]","[7776, 847, 6663, 3624, 6422, 2276, 7019, 4172, 6094, 4398]"
коллаген,"[1283, 4237, 7726]",3,"[2293, 2558, 944, 7727, 543, 791, 3072, 1332, 5708, 929, 1660, 8073, 2271, 7528, 5483, 2551, 4478, 1654, 3898, 2659]","[2293, 2558, 944, 7727, 543, 791, 3072, 1332, 5708, 929]","[944, 2271, 2558, 929, 4478, 1332, 7727, 3072, 6957, 791, 5583, 2633, 8024, 2293, 7753, 5483, 6778, 5101, 7485, 5832]","[944, 2271, 2558, 929, 4478, 1332, 7727, 3072, 6957, 791]","[7727, 5948, 1483, 2633, 791, 1660, 8024, 944, 2293, 3072, 2886, 6004, 5101, 2069, 5708, 2271, 929, 4103, 6778, 2352]","[7727, 5948, 1483, 2633, 791, 1660, 8024, 944, 2293, 3072]","[944, 929, 1283, 2271, 7528, 4478, 2659, 2293, 8024, 2633, 1332, 1660, 5101, 791, 5832, 1483, 2472, 1073, 2971, 3072]","[944, 929, 1283, 2271, 7528, 4478, 2659, 2293, 8024, 2633]"
диетическая кола и рак,[5999],1,"[3898, 4188, 3792, 2182, 2906, 5459, 5185, 348, 7545, 1188, 129, 5737, 5520, 5999, 4579, 3249, 974, 3560, 1920, 3801]","[3898, 4188, 3792, 2182, 2906, 5459, 5185, 348, 7545, 1188]","[5737, 348, 6774, 6697, 3229, 5805, 3898, 4714, 2182, 6486, 3839, 1920, 3792, 4579, 4101, 6088, 3822, 2906, 5520, 129]","[5737, 348, 6774, 6697, 3229, 5805, 3898, 4714, 2182, 6486]","[2906, 1920, 8186, 4714, 6486, 5999, 8026, 4426, 1709, 6664, 4579, 5520, 5423, 1129, 6116, 579, 3249, 957, 5325, 6371]","[2906, 1920, 8186, 4714, 6486, 5999, 8026, 4426, 1709, 6664]","[6697, 6486, 5527, 5737, 5520, 450, 4101, 5999, 348, 6683, 6371, 3822, 1188, 1920, 3229, 2182, 4714, 129, 5934, 3792]","[6697, 6486, 5527, 5737, 5520, 450, 4101, 5999, 348, 6683]"
археологические открытия в Египте,[6746],1,"[769, 1840, 6978, 2020, 3689, 4180, 7763, 137, 3680, 4159, 6852, 3254, 2719, 7520, 5531, 2335, 6746, 3682, 7987, 5640]","[769, 1840, 6978, 2020, 3689, 4180, 7763, 137, 3680, 4159]","[6230, 1815, 2020, 8162, 8136, 2719, 4159, 7405, 8267, 216, 3680, 7722, 2025, 3689, 5690, 7148, 7683, 7513, 5734, 1042]","[6230, 1815, 2020, 8162, 8136, 2719, 4159, 7405, 8267, 216]","[3689, 2020, 2025, 216, 1815, 815, 6978, 1840, 6298, 2335, 3680, 2719, 7520, 6852, 5531, 4159, 769, 6746, 386, 7063]","[3689, 2020, 2025, 216, 1815, 815, 6978, 1840, 6298, 2335]","[216, 4894, 5071, 2025, 133, 6852, 815, 4154, 2335, 790, 3682, 5705, 6298, 3134, 5153, 7684, 5561, 3283, 5387, 4450]","[216, 4894, 5071, 2025, 133, 6852, 815, 4154, 2335, 790]"
лингвистические исследования китайского языка,[7480],1,"[7480, 7735, 826, 6420, 656, 3811, 7559, 4018, 7200, 2749, 7361, 8248, 3144, 7141, 3302, 1458, 8044, 7103, 2372, 7258]","[7480, 7735, 826, 6420, 656, 3811, 7559, 4018, 7200, 2749]","[6420, 1654, 4018, 7480, 2749, 5419, 7103, 4965, 5212, 7494, 7307, 4798, 7562, 3910, 656, 8044, 4316, 5322, 3116, 3374]","[6420, 1654, 4018, 7480, 2749, 5419, 7103, 4965, 5212, 7494]","[3241, 4503, 7480, 6420, 2095, 7006, 884, 4018, 5449, 5419, 5600, 4861, 2372, 1841, 3811, 656, 5437, 2518, 1217, 3374]","[3241, 4503, 7480, 6420, 2095, 7006, 884, 4018, 5449, 5419]","[6420, 5322, 4018, 7480, 5708, 1317, 656, 401, 3910, 8248, 422, 1458, 2974, 7006, 4798, 4861, 1960, 5419, 1138, 1654]","[6420, 5322, 4018, 7480, 5708, 1317, 656, 401, 3910, 8248]"
разработки Пермского Политеха,[8257],1,"[1328, 1425, 7598, 1099, 6938, 7053, 5965, 4146, 6038, 1393, 6225, 1480, 6453, 1844, 3193, 5101, 5519, 785, 7313, 8148]","[1328, 1425, 7598, 1099, 6938, 7053, 5965, 4146, 6038, 1393]","[1425, 1328, 1099, 5519, 6938, 1393, 674, 3240, 7598, 6453, 253, 1844, 425, 2427, 3193, 906, 5101, 7893, 5965, 4146]","[1425, 1328, 1099, 5519, 6938, 1393, 674, 3240, 7598, 6453]","[1425, 1099, 3240, 1328, 5519, 1844, 3193, 7458, 425, 6938, 1229, 674, 253, 7598, 357, 7923, 1249, 3007, 1480, 1393]","[1425, 1099, 3240, 1328, 5519, 1844, 3193, 7458, 425, 6938]","[5965, 253, 1743, 1099, 1425, 1844, 5985, 357, 5519, 3240, 7458, 1229, 674, 1328, 4964, 425, 906, 3941, 7341, 1393]","[5965, 253, 1743, 1099, 1425, 1844, 5985, 357, 5519, 3240]"
диета для улучшения настроения,[4551],1,"[4944, 7056, 7454, 5417, 1709, 7077, 3827, 1358, 6035, 660, 4901, 6886, 6683, 4551, 4051, 7998, 7904, 3819, 2306, 2561]","[4944, 7056, 7454, 5417, 1709, 7077, 3827, 1358, 6035, 660]","[4551, 4694, 6683, 4212, 3953, 7184, 4944, 5001, 7904, 1358, 2443, 5417, 6123, 5608, 6767, 1934, 7454, 2138, 4901, 3819]","[4551, 4694, 6683, 4212, 3953, 7184, 4944, 5001, 7904, 1358]","[2443, 1358, 6035, 6286, 3819, 2050, 2306, 1934, 7904, 1912, 4551, 5417, 4899, 1709, 6683, 6886, 4944, 6788, 3172, 5325]","[2443, 1358, 6035, 6286, 3819, 2050, 2306, 1934, 7904, 1912]","[6683, 4551, 4944, 2306, 6751, 549, 6886, 2790, 6504, 3232, 2835, 4972, 5825, 4899, 4297, 7056, 3539, 7904, 976, 3184]","[6683, 4551, 4944, 2306, 6751, 549, 6886, 2790, 6504, 3232]"
статьи о звездах в звездной колыбели,[5819],1,"[5217, 4774, 6716, 4966, 3986, 2350, 6901, 855, 2593, 5491, 6085, 3656, 1250, 3800, 1447, 4761, 3173, 1940, 635, 5021]","[5217, 4774, 6716, 4966, 3986, 2350, 6901, 855, 2593, 5491]","[5217, 5491, 6716, 4966, 2545, 6901, 6770, 5712, 4025, 8159, 6343, 635, 1849, 7331, 2579, 6085, 6896, 2363, 4058, 5141]","[5217, 5491, 6716, 4966, 2545, 6901, 6770, 5712, 4025, 8159]","[2545, 5217, 635, 6770, 5107, 7045, 4966, 1940, 6343, 5491, 2579, 6896, 5712, 1792, 5877, 6642, 7425, 617, 5203, 5117]","[2545, 5217, 635, 6770, 5107, 7045, 4966, 1940, 6343, 5491]","[5217, 6134, 5117, 1435, 7974, 617, 2489, 543, 4736, 7045, 6716, 2503, 1216, 5107, 1073, 2744, 5711, 3559, 1447, 2704]","[5217, 6134, 5117, 1435, 7974, 617, 2489, 543, 4736, 7045]"
великое пермское вымирание,[7168],1,"[6494, 2925, 8099, 7897, 7607, 4876, 8052, 7168, 5310, 5560, 7522, 178, 6829, 2639, 265, 5960, 8015, 5726, 1242, 298]","[6494, 2925, 8099, 7897, 7607, 4876, 8052, 7168, 5310, 5560]","[6494, 2925, 3305, 5515, 7671, 2548, 2903, 298, 2639, 5960, 3365, 8099, 3352, 8253, 7897, 1275, 7335, 5148, 7168, 3383]","[6494, 2925, 3305, 5515, 7671, 2548, 2903, 298, 2639, 5960]","[6829, 2925, 2510, 6494, 8015, 7897, 2639, 7522, 8006, 8052, 3352, 7168, 8099, 298, 4876, 4331, 5560, 5482, 1831, 3579]","[6829, 2925, 2510, 6494, 8015, 7897, 2639, 7522, 8006, 8052]","[1645, 8133, 3506, 1832, 2136, 125, 1327, 2549, 178, 5766, 2168, 1853, 3159, 6494, 6, 7165, 3454, 217, 7773, 8073]","[1645, 8133, 3506, 1832, 2136, 125, 1327, 2549, 178, 5766]"
новости про аллергическую астму,[4067],1,"[4067, 3706, 6209, 5907, 6735, 4706, 3530, 4726, 1571, 7152, 1329, 405, 4377, 1173, 5367, 124, 3984, 1290, 147, 6503]","[4067, 3706, 6209, 5907, 6735, 4706, 3530, 4726, 1571, 7152]","[4067, 3706, 6209, 1055, 543, 1290, 5388, 1731, 1173, 3762, 5762, 6237, 592, 5353, 6503, 4545, 5041, 7327, 555, 3530]","[4067, 3706, 6209, 1055, 543, 1290, 5388, 1731, 1173, 3762]","[1329, 3984, 1055, 4067, 7622, 6209, 3706, 1718, 1015, 2841, 4794, 5353, 1571, 1645, 2766, 5041, 4377, 4706, 2527, 6735]","[1329, 3984, 1055, 4067, 7622, 6209, 3706, 1718, 1015, 2841]","[4067, 6209, 624, 3530, 4982, 7142, 4794, 4996, 3232, 6134, 6735, 5367, 6927, 3706, 3662, 1645, 2766, 3984, 5518, 4545]","[4067, 6209, 624, 3530, 4982, 7142, 4794, 4996, 3232, 6134]"
железнодорожные мосты и насыпи,[7819],1,"[7819, 5859, 1398, 3799, 5611, 4156, 5890, 4918, 1184, 4798, 148, 1749, 6784, 5935, 1787, 6250, 2529, 6907, 4413, 1233]","[7819, 5859, 1398, 3799, 5611, 4156, 5890, 4918, 1184, 4798]","[7819, 4413, 1682, 4102, 2415, 5859, 3799, 4156, 2529, 3436, 1398, 3003, 1787, 1495, 1233, 1184, 1258, 3038, 1421, 5935]","[7819, 4413, 1682, 4102, 2415, 5859, 3799, 4156, 2529, 3436]","[1184, 6309, 7819, 3038, 5611, 1119, 6784, 1787, 5859, 4156, 6439, 1398, 6472, 3388, 1233, 6250, 1994, 3003, 1301, 2955]","[1184, 6309, 7819, 3038, 5611, 1119, 6784, 1787, 5859, 4156]","[7819, 4050, 6784, 1184, 1495, 229, 6092, 4413, 2529, 5890, 2353, 3003, 5935, 2415, 4156, 6462, 6250, 7189, 789, 1398]","[7819, 4050, 6784, 1184, 1495, 229, 6092, 4413, 2529, 5890]"
вегетарианская диета для домашних животных,[6568],1,"[6568, 5303, 6905, 1044, 4899, 1974, 7204, 3829, 1997, 7062, 3354, 7891, 2790, 2906, 5800, 6635, 348, 4563, 6517, 6848]","[6568, 5303, 6905, 1044, 4899, 1974, 7204, 3829, 1997, 7062]","[5303, 5800, 6517, 155, 2684, 7661, 551, 7689, 7062, 6848, 764, 8186, 6865, 1044, 6905, 4778, 3948, 1974, 3429, 6459]","[5303, 5800, 6517, 155, 2684, 7661, 551, 7689, 7062, 6848]","[6568, 5800, 5303, 1044, 1974, 2306, 3829, 4899, 7986, 7062, 2403, 551, 687, 7689, 2906, 2684, 1709, 3683, 4972, 3429]","[6568, 5800, 5303, 1044, 1974, 2306, 3829, 4899, 7986, 7062]","[1088, 2534, 2438, 2790, 4563, 6415, 3409, 7649, 6742, 2751, 3948, 2962, 660, 0, 2842, 7204, 6116, 6517, 2306, 1044]","[1088, 2534, 2438, 2790, 4563, 6415, 3409, 7649, 6742, 2751]"
статьи о роли кислорода в эволюции,[5889],1,"[1648, 7434, 7828, 8181, 5231, 6629, 3248, 3596, 5694, 3049, 904, 7287, 7211, 7226, 7728, 5889, 7296, 6110, 6322, 3434]","[1648, 7434, 7828, 8181, 5231, 6629, 3248, 3596, 5694, 3049]","[1648, 5231, 7434, 6629, 5694, 5889, 904, 3822, 7324, 3049, 190, 7287, 7828, 7296, 6778, 7728, 765, 6110, 6332, 2565]","[1648, 5231, 7434, 6629, 5694, 5889, 904, 3822, 7324, 3049]","[5694, 6629, 1648, 5231, 765, 8181, 7433, 5889, 904, 6166, 7211, 2565, 2347, 7434, 7324, 5036, 3066, 3049, 7069, 190]","[5694, 6629, 1648, 5231, 765, 8181, 7433, 5889, 904, 6166]","[6629, 7287, 5840, 5577, 6134, 1648, 5036, 7069, 6086, 549, 5269, 4357, 6278, 5305, 2690, 7324, 7431, 6069, 6591, 190]","[6629, 7287, 5840, 5577, 6134, 1648, 5036, 7069, 6086, 549]"
советы ученых против мошенничества,[80],1,"[305, 6454, 70, 80, 2433, 8203, 743, 2609, 5260, 1639, 5818, 5359, 7628, 1525, 189, 4996, 4764, 1506, 7735, 7067]","[305, 6454, 70, 80, 2433, 8203, 743, 2609, 5260, 1639]","[2433, 305, 743, 558, 3156, 1639, 7966, 3719, 6454, 7602, 2011, 2609, 4764, 70, 49, 7056, 2454, 8203, 7735, 3126]","[2433, 305, 743, 558, 3156, 1639, 7966, 3719, 6454, 7602]","[2433, 305, 4764, 4580, 4403, 858, 1527, 6454, 453, 567, 1525, 2011, 2641, 3719, 2609, 4946, 1639, 6549, 3375, 4934]","[2433, 305, 4764, 4580, 4403, 858, 1527, 6454, 453, 567]","[7966, 8203, 6454, 3126, 80, 2433, 743, 6735, 70, 567, 1116, 7007, 6193, 7821, 3886, 8200, 7927, 5825, 1955, 7056]","[7966, 8203, 6454, 3126, 80, 2433, 743, 6735, 70, 567]"
сон плоскомордых собак,[4815],1,"[4815, 4016, 6645, 6759, 6459, 1631, 5503, 2702, 5401, 3829, 6248, 4212, 6958, 857, 3762, 4721, 7779, 8263, 7829, 7418]","[4815, 4016, 6645, 6759, 6459, 1631, 5503, 2702, 5401, 3829]","[4815, 7418, 4087, 6292, 4629, 7829, 2411, 2836, 4016, 6645, 5688, 3441, 4505, 4748, 7233, 2657, 4212, 3762, 2785, 7729]","[4815, 7418, 4087, 6292, 4629, 7829, 2411, 2836, 4016, 6645]","[4815, 6292, 2338, 3762, 7398, 6645, 7230, 4721, 4629, 2702, 7233, 4016, 857, 2785, 4087, 7235, 6459, 1731, 3176, 5401]","[4815, 6292, 2338, 3762, 7398, 6645, 7230, 4721, 4629, 2702]","[4815, 2496, 4615, 7041, 3829, 6742, 6262, 7729, 7931, 3124, 2026, 5209, 7779, 6240, 7027, 1369, 6471, 494, 2933, 6075]","[4815, 2496, 4615, 7041, 3829, 6742, 6262, 7729, 7931, 3124]"
экологические заповедники на Марсе,[7408],1,"[3283, 2768, 3904, 3587, 3053, 7381, 5516, 7471, 7637, 15, 1621, 1478, 3544, 7321, 3122, 2152, 2588, 2420, 7536, 7]","[3283, 2768, 3904, 3587, 3053, 7381, 5516, 7471, 7637, 15]","[3053, 3544, 5180, 2873, 4130, 3587, 2768, 2058, 646, 577, 1980, 3283, 959, 1621, 2204, 2420, 1174, 8095, 7471, 7257]","[3053, 3544, 5180, 2873, 4130, 3587, 2768, 2058, 646, 577]","[6753, 2116, 3338, 7257, 6880, 3587, 3283, 6378, 3544, 6826, 15, 5180, 7264, 1980, 599, 646, 3053, 3434, 7040, 7963]","[6753, 2116, 3338, 7257, 6880, 3587, 3283, 6378, 3544, 6826]","[1976, 4547, 1331, 3786, 3904, 1362, 7, 2113, 4862, 5516, 3434, 2447, 577, 7269, 4431, 1024, 5555, 3283, 2204, 7040]","[1976, 4547, 1331, 3786, 3904, 1362, 7, 2113, 4862, 5516]"
взаимодействие черных дыр и галактик,[3841],1,"[2701, 7112, 861, 680, 1901, 7800, 8205, 2398, 5189, 517, 2418, 7593, 7515, 6890, 7447, 4309, 6869, 936, 6191, 855]","[2701, 7112, 861, 680, 1901, 7800, 8205, 2398, 5189, 517]","[2701, 7800, 4309, 6058, 7593, 7447, 1901, 1226, 517, 7425, 2280, 1792, 2034, 615, 2555, 3569, 838, 6869, 855, 6191]","[2701, 7800, 4309, 6058, 7593, 7447, 1901, 1226, 517, 7425]","[2701, 6058, 2418, 936, 3243, 13, 2468, 4309, 680, 3479, 8205, 4008, 615, 4530, 2004, 1808, 5189, 1901, 7121, 2642]","[2701, 6058, 2418, 936, 3243, 13, 2468, 4309, 680, 3479]","[2322, 7633, 2882, 3228, 2701, 6839, 2555, 7447, 517, 6890, 2280, 2898, 6557, 3569, 7593, 1036, 1901, 2418, 2034, 6058]","[2322, 7633, 2882, 3228, 2701, 6839, 2555, 7447, 517, 6890]"
психологические причины измен,[3219],1,"[3219, 6254, 7707, 5652, 3743, 4669, 3736, 2127, 4609, 5032, 7107, 334, 2781, 7779, 4697, 592, 2315, 7608, 5139, 2035]","[3219, 6254, 7707, 5652, 3743, 4669, 3736, 2127, 4609, 5032]","[3298, 5032, 4697, 7707, 7095, 3965, 2844, 1156, 6254, 2912, 4514, 3703, 1600, 5139, 3734, 5344, 7566, 636, 1777, 5652]","[3298, 5032, 4697, 7707, 7095, 3965, 2844, 1156, 6254, 2912]","[3298, 1156, 7095, 5652, 8260, 4697, 3734, 3512, 6254, 2315, 822, 7779, 4074, 5369, 2035, 7539, 575, 3219, 3696, 3155]","[3298, 1156, 7095, 5652, 8260, 4697, 3734, 3512, 6254, 2315]","[3743, 3219, 3703, 438, 3734, 1882, 5032, 7172, 822, 2574, 7095, 367, 3512, 101, 3301, 4715, 3183, 3298, 3696, 905]","[3743, 3219, 3703, 438, 3734, 1882, 5032, 7172, 822, 2574]"
социальное взаимодействие,"[1288, 2408, 7163, 7339]",4,"[4847, 177, 3692, 3920, 2385, 3334, 7021, 3289, 6076, 3818, 7139, 3554, 4503, 2962, 5042, 971, 6590, 1113, 1485, 5700]","[4847, 177, 3692, 3920, 2385, 3334, 7021, 3289, 6076, 3818]","[461, 5700, 4315, 4847, 1206, 5294, 5745, 1525, 334, 6252, 2385, 4994, 7754, 149, 7889, 1113, 5501, 3289, 2500, 4436]","[461, 5700, 4315, 4847, 1206, 5294, 5745, 1525, 334, 6252]","[5294, 5700, 4847, 461, 4042, 4436, 5745, 4315, 334, 4541, 3334, 6076, 3135, 1113, 2454, 200, 6985, 3086, 1206, 4031]","[5294, 5700, 4847, 461, 4042, 4436, 5745, 4315, 334, 4541]","[4847, 461, 4205, 5501, 1113, 6831, 5294, 5998, 2126, 4994, 7669, 2500, 1206, 5700, 3920, 4315, 6989, 6252, 3692, 6590]","[4847, 461, 4205, 5501, 1113, 6831, 5294, 5998, 2126, 4994]"
новости о Титане,[3323],1,"[2630, 3333, 4839, 4442, 4675, 2603, 7924, 6134, 8238, 2891, 6330, 1407, 2124, 5216, 6641, 8208, 7172, 6360, 178, 4982]","[2630, 3333, 4839, 4442, 4675, 2603, 7924, 6134, 8238, 2891]","[6330, 4442, 1561, 6641, 4325, 2124, 7645, 4839, 3333, 4675, 3323, 8238, 8018, 2891, 5216, 7981, 7392, 2603, 497, 2630]","[6330, 4442, 1561, 6641, 4325, 2124, 7645, 4839, 3333, 4675]","[7645, 4442, 6897, 3333, 6330, 2124, 5216, 2891, 8177, 8208, 6641, 2603, 4674, 2733, 1240, 7560, 4935, 7537, 8238, 1561]","[7645, 4442, 6897, 3333, 6330, 2124, 5216, 2891, 8177, 8208]","[2603, 7645, 8177, 8238, 1561, 4442, 4839, 6330, 4675, 3333, 1377, 5216, 8018, 6641, 2891, 3759, 3323, 4325, 7172, 2124]","[2603, 7645, 8177, 8238, 1561, 4442, 4839, 6330, 4675, 3333]"
влияние наземных растений на вымирание в девоне,[4876],1,"[5310, 5482, 2903, 4876, 7018, 7825, 3363, 4851, 844, 7408, 1500, 7976, 132, 8181, 6649, 7846, 7783, 2743, 5768, 1454]","[5310, 5482, 2903, 4876, 7018, 7825, 3363, 4851, 844, 7408]","[2903, 4017, 7846, 965, 2553, 5482, 4876, 6577, 3980, 7018, 7976, 3438, 1454, 3049, 6705, 3486, 3912, 7408, 5310, 7742]","[2903, 4017, 7846, 965, 2553, 5482, 4876, 6577, 3980, 7018]","[3596, 7018, 6577, 7783, 4851, 6591, 1357, 3952, 2903, 6180, 4475, 2925, 6649, 7976, 5482, 5076, 2519, 3294, 2467, 7725]","[3596, 7018, 6577, 7783, 4851, 6591, 1357, 3952, 2903, 6180]","[2273, 3965, 2628, 6649, 6266, 7760, 1500, 5410, 1762, 1357, 2467, 2526, 6732, 7725, 4048, 1157, 6591, 2728, 2743, 3011]","[2273, 3965, 2628, 6649, 6266, 7760, 1500, 5410, 1762, 1357]"
