request,id,n,search_20_none,search_10_none,search_20_rerank,search_10_rerank,search_20_other,search_10_other
крупнейшая дельта в мире,[3520],1,"[7535, 4157, 3606, 1921, 5221, 7633, 772, 3594, 432, 7943, 6770, 7064, 243, 6839, 7447, 3841, 1722, 3101, 2284, 5621]","[7535, 4157, 3606, 1921, 5221, 7633, 772, 3594, 432, 7943]","[4157, 1921, 5538, 2214, 1433, 867, 7633, 2896, 57, 1603, 5584, 6890, 8232, 7440, 7535, 772, 3606, 6839, 5858, 6770]","[4157, 1921, 5538, 2214, 1433, 867, 7633, 2896, 57, 1603]","[3606, 3565, 7943, 6441, 4362, 7440, 8232, 8006, 7537, 2128, 4854, 4025, 2816, 4881, 5538, 1433, 7633, 867, 3520, 4157]","[3606, 3565, 7943, 6441, 4362, 7440, 8232, 8006, 7537, 2128]"
миграция людей в Америку,[1286],1,"[74, 1459, 4589, 935, 1039, 4048, 7161, 1547, 7190, 1433, 7437, 6120, 6838, 910, 5211, 4459, 7693, 2544, 7142, 7546]","[74, 1459, 4589, 935, 1039, 4048, 7161, 1547, 7190, 1433]","[74, 1039, 6120, 4048, 3305, 7163, 7659, 6845, 4508, 1547, 4589, 2121, 2741, 1327, 6585, 7742, 4147, 686, 5211, 1086]","[74, 1039, 6120, 4048, 3305, 7163, 7659, 6845, 4508, 1547]","[74, 910, 4074, 7659, 6120, 6779, 7172, 1151, 1547, 7163, 4994, 1433, 2121, 6220, 7003, 6585, 1327, 1039, 6846, 4048]","[74, 910, 4074, 7659, 6120, 6779, 7172, 1151, 1547, 7163]"
пластичность прорезиненного бетона,[4321],1,"[4321, 3026, 546, 1443, 3493, 1421, 2185, 6665, 5250, 3132, 245, 6501, 3400, 3795, 7053, 2914, 8048, 3875, 2633, 5639]","[4321, 3026, 546, 1443, 3493, 1421, 2185, 6665, 5250, 3132]","[4321, 1249, 3132, 1443, 2707, 1563, 3456, 546, 2822, 3740, 7224, 5101, 7859, 6733, 3026, 5262, 3875, 2185, 1421, 7745]","[4321, 1249, 3132, 1443, 2707, 1563, 3456, 546, 2822, 3740]","[4321, 3132, 1443, 546, 6330, 3143, 3493, 874, 3795, 3531, 5250, 8042, 372, 3731, 2359, 2185, 3026, 580, 8264, 2822]","[4321, 3132, 1443, 546, 6330, 3143, 3493, 874, 3795, 3531]"
исследования в Красном море,[3722],1,"[3587, 3654, 1174, 7637, 2768, 2204, 5169, 3122, 658, 1615, 1760, 6363, 6463, 1621, 4643, 329, 6396, 2113, 1133, 4758]","[3587, 3654, 1174, 7637, 2768, 2204, 5169, 3122, 658, 1615]","[3654, 6463, 1760, 1174, 787, 2113, 4758, 2768, 3587, 6396, 1615, 5169, 1722, 7264, 2873, 7306, 1569, 188, 1621, 7471]","[3654, 6463, 1760, 1174, 787, 2113, 4758, 2768, 3587, 6396]","[3654, 4942, 2975, 658, 1174, 1621, 787, 2537, 1615, 1722, 4219, 3283, 3394, 4200, 1851, 2020, 329, 2873, 540, 5169]","[3654, 4942, 2975, 658, 1174, 1621, 787, 2537, 1615, 1722]"
цифровизация,"[1768, 1845, 4195, 4302, 6014, 8128]",6,"[2771, 4631, 7767, 987, 4302, 1845, 8128, 1768, 3126, 5922, 4640, 6134, 835, 2794, 6923, 3347, 639, 7397, 2569, 1343]","[2771, 4631, 7767, 987, 4302, 1845, 8128, 1768, 3126, 5922]","[2771, 8185, 4302, 4631, 7935, 1845, 6923, 1768, 5922, 6713, 2270, 4640, 2077, 835, 7767, 3375, 1364, 6607, 7397, 2918]","[2771, 8185, 4302, 4631, 7935, 1845, 6923, 1768, 5922, 6713]","[3695, 4302, 2984, 2558, 1768, 3347, 2771, 4631, 8185, 7935, 858, 6923, 3375, 5360, 1845, 2190, 77, 2270, 796, 4541]","[3695, 4302, 2984, 2558, 1768, 3347, 2771, 4631, 8185, 7935]"
достижения в области катализаторов,[488],1,"[7792, 488, 1248, 8132, 3267, 5173, 6671, 6039, 7502, 6616, 6447, 1664, 1018, 1402, 3546, 6427, 4249, 7905, 8140, 3070]","[7792, 488, 1248, 8132, 3267, 5173, 6671, 6039, 7502, 6616]","[4249, 6039, 6671, 3070, 1248, 488, 7502, 6556, 6405, 7792, 1018, 1402, 3808, 932, 8132, 6427, 3267, 8140, 5173, 8227]","[4249, 6039, 6671, 3070, 1248, 488, 7502, 6556, 6405, 7792]","[1248, 6671, 4249, 6908, 6447, 7502, 804, 5173, 6405, 1018, 8132, 746, 3267, 6039, 488, 7792, 7069, 1402, 932, 7552]","[1248, 6671, 4249, 6908, 6447, 7502, 804, 5173, 6405, 1018]"
исследования в ИФХЭ РАН,[4181],1,"[4106, 1323, 6289, 5109, 3467, 5793, 3221, 847, 6843, 1918, 2453, 3708, 5596, 4756, 4417, 1748, 3688, 5928, 1294, 3242]","[4106, 1323, 6289, 5109, 3467, 5793, 3221, 847, 6843, 1918]","[3467, 3708, 4632, 4181, 1323, 4106, 5793, 2244, 3221, 4417, 1000, 5928, 3998, 6289, 2559, 1112, 2686, 5596, 1918, 1677]","[3467, 3708, 4632, 4181, 1323, 4106, 5793, 2244, 3221, 4417]","[3467, 4632, 1748, 7599, 4181, 5109, 3708, 6464, 5986, 5596, 6289, 1111, 5928, 854, 3221, 1112, 4417, 6617, 5793, 5234]","[3467, 4632, 1748, 7599, 4181, 5109, 3708, 6464, 5986, 5596]"
прогнозы климатологов по ураганам,[4482],1,"[3159, 5059, 4169, 6425, 4482, 2123, 4186, 8037, 3621, 4937, 4674, 1455, 1858, 5718, 3085, 6920, 3634, 7572, 3326, 1635]","[3159, 5059, 4169, 6425, 4482, 2123, 4186, 8037, 3621, 4937]","[3159, 7674, 7022, 4169, 7679, 4937, 5297, 4587, 3817, 4186, 6524, 4482, 6167, 572, 4198, 2492, 3621, 637, 5134, 6585]","[3159, 7674, 7022, 4169, 7679, 4937, 5297, 4587, 3817, 4186]","[3159, 4587, 4482, 3326, 3621, 1455, 7674, 5059, 7022, 5134, 2493, 3085, 3444, 6167, 6425, 8037, 7223, 1635, 4003, 4186]","[3159, 4587, 4482, 3326, 3621, 1455, 7674, 5059, 7022, 5134]"
новые роды динозавров,[2025],1,"[332, 2950, 3495, 609, 817, 912, 3666, 1588, 7179, 5685, 6775, 151, 2853, 5133, 4026, 3878, 1242, 5315, 7507, 2938]","[332, 2950, 3495, 609, 817, 912, 3666, 1588, 7179, 5685]","[332, 2853, 3495, 3666, 151, 2950, 912, 2025, 3938, 5133, 817, 1667, 7414, 8173, 7179, 1141, 7319, 5685, 4157, 4521]","[332, 2853, 3495, 3666, 151, 2950, 912, 2025, 3938, 5133]","[332, 5315, 609, 3878, 3666, 2025, 912, 817, 2853, 1667, 6465, 6775, 4521, 2677, 5482, 2950, 8091, 3495, 5685, 151]","[332, 5315, 609, 3878, 3666, 2025, 912, 817, 2853, 1667]"
поиск внеземного интеллекта,[7448],1,"[5936, 1170, 5454, 6134, 3069, 7333, 7543, 1903, 430, 76, 6193, 7463, 7316, 493, 2287, 3209, 577, 6221, 7354, 6194]","[5936, 1170, 5454, 6134, 3069, 7333, 7543, 1903, 430, 76]","[5936, 1170, 493, 7402, 1894, 430, 935, 577, 6277, 7898, 3811, 4498, 7102, 7530, 5454, 6194, 3069, 1944, 4178, 3276]","[5936, 1170, 493, 7402, 1894, 430, 935, 577, 6277, 7898]","[5936, 1170, 1894, 493, 4664, 7402, 7463, 430, 577, 3069, 76, 7784, 5761, 2379, 102, 7269, 1914, 6709, 4490, 1903]","[5936, 1170, 1894, 493, 4664, 7402, 7463, 430, 577, 3069]"
статьи про докембрийскую эру,[1544],1,"[543, 6134, 7528, 4356, 5482, 549, 2678, 8163, 694, 7172, 463, 7898, 3386, 2337, 2587, 8144, 2644, 4308, 7007, 3604]","[543, 6134, 7528, 4356, 5482, 549, 2678, 8163, 694, 7172]","[7908, 543, 6278, 6862, 4749, 2373, 4753, 3595, 5556, 7973, 2772, 4853, 32, 8015, 5774, 5604, 4310, 3252, 428, 7003]","[7908, 543, 6278, 6862, 4749, 2373, 4753, 3595, 5556, 7973]","[5352, 4782, 7908, 6862, 5559, 7177, 2678, 4853, 5482, 1833, 7973, 7056, 1242, 3237, 4310, 116, 5556, 32, 5423, 1485]","[5352, 4782, 7908, 6862, 5559, 7177, 2678, 4853, 5482, 1833]"
статьи про костные имплантаты,[3410],1,"[2944, 7816, 2100, 1235, 2730, 6249, 543, 5156, 3410, 501, 3542, 2069, 4158, 3922, 1023, 6134, 3359, 5587, 2481, 5795]","[2944, 7816, 2100, 1235, 2730, 6249, 543, 5156, 3410, 501]","[2944, 2100, 5156, 5683, 3410, 1235, 2730, 2711, 3359, 7816, 1201, 7156, 7410, 5739, 3542, 1977, 4354, 8170, 1023, 1176]","[2944, 2100, 5156, 5683, 3410, 1235, 2730, 2711, 3359, 7816]","[2944, 3410, 2100, 7156, 4354, 7816, 681, 8170, 3359, 5506, 2481, 2730, 6686, 1977, 1117, 5156, 4237, 6249, 3542, 1023]","[2944, 3410, 2100, 7156, 4354, 7816, 681, 8170, 3359, 5506]"
почему сложно перестать есть нездоровую пищу,[5232],1,"[4944, 2403, 3500, 7225, 4739, 5232, 7454, 3953, 8107, 1997, 1709, 660, 65, 7153, 8053, 2127, 3409, 5567, 1088, 5006]","[4944, 2403, 3500, 7225, 4739, 5232, 7454, 3953, 8107, 1997]","[4944, 1759, 4739, 1088, 7387, 1044, 254, 1709, 7628, 3953, 3500, 6774, 7143, 2403, 1997, 7611, 2906, 4723, 5567, 7904]","[4944, 1759, 4739, 1088, 7387, 1044, 254, 1709, 7628, 3953]","[4944, 1044, 7904, 1088, 4791, 7375, 8244, 2751, 3877, 4152, 2403, 6774, 2717, 6504, 2443, 7454, 2906, 4837, 7153, 4473]","[4944, 1044, 7904, 1088, 4791, 7375, 8244, 2751, 3877, 4152]"
статьи о микрокультурах,[1926],1,"[5471, 5559, 7262, 6134, 5185, 6826, 4595, 6278, 4356, 7760, 7545, 4128, 6392, 7455, 7656, 8051, 7338, 6218, 83, 7412]","[5471, 5559, 7262, 6134, 5185, 6826, 4595, 6278, 4356, 7760]","[7925, 2883, 5926, 2222, 6263, 2317, 7506, 7172, 7347, 21, 7455, 1483, 5619, 1251, 5471, 3833, 7364, 6184, 6717, 543]","[7925, 2883, 5926, 2222, 6263, 2317, 7506, 7172, 7347, 21]","[3833, 2317, 7843, 2085, 1636, 2739, 2883, 1493, 7925, 1933, 4595, 4460, 7506, 6392, 6826, 5559, 2782, 543, 1466, 3509]","[3833, 2317, 7843, 2085, 1636, 2739, 2883, 1493, 7925, 1933]"
исследования в Финуниверситете,[7452],1,"[7452, 6077, 2173, 6245, 6617, 5028, 6464, 1334, 5394, 5151, 4990, 1294, 6941, 277, 1062, 1748, 2572, 177, 3940, 558]","[7452, 6077, 2173, 6245, 6617, 5028, 6464, 1334, 5394, 5151]","[7452, 1846, 1231, 1748, 6046, 5330, 1003, 453, 226, 1252, 5028, 6245, 6211, 4248, 1047, 5467, 1977, 1062, 6464, 1570]","[7452, 1846, 1231, 1748, 6046, 5330, 1003, 453, 226, 1252]","[6464, 3088, 2023, 7452, 177, 6617, 6843, 1696, 6941, 226, 5467, 3372, 2623, 453, 1252, 2064, 1748, 4248, 1003, 5151]","[6464, 3088, 2023, 7452, 177, 6617, 6843, 1696, 6941, 226]"
открытия в области астрономии,[3228],1,"[7276, 5877, 5259, 1189, 2663, 2579, 5138, 2884, 1802, 2882, 4661, 4838, 2744, 5946, 4556, 8115, 3097, 2896, 5853, 4314]","[7276, 5877, 5259, 1189, 2663, 2579, 5138, 2884, 1802, 2882]","[1965, 4720, 7276, 1246, 5259, 2607, 2882, 2884, 5853, 1802, 4355, 5214, 643, 3440, 3420, 1808, 5138, 1305, 6327, 4038]","[1965, 4720, 7276, 1246, 5259, 2607, 2882, 2884, 5853, 1802]","[2859, 1246, 6327, 5259, 7276, 5138, 2882, 4314, 5853, 5214, 4720, 2593, 1965, 517, 2896, 2837, 2884, 218, 2202, 4556]","[2859, 1246, 6327, 5259, 7276, 5138, 2882, 4314, 5853, 5214]"
влияние самооценки на сексуальное поведение,[3715],1,"[1473, 3743, 3455, 221, 3715, 6101, 7114, 3692, 6676, 41, 705, 292, 5314, 5839, 2952, 2961, 3597, 4036, 1304, 3214]","[1473, 3743, 3455, 221, 3715, 6101, 7114, 3692, 6676, 41]","[1473, 3715, 3554, 6101, 3638, 6318, 1800, 2912, 3214, 915, 3455, 2718, 3541, 4749, 705, 3188, 8054, 2523, 1304, 3150]","[1473, 3715, 3554, 6101, 3638, 6318, 1800, 2912, 3214, 915]","[7426, 3715, 915, 1473, 5314, 4002, 3832, 3455, 2912, 3743, 4790, 575, 1127, 3554, 461, 3638, 5652, 6676, 389, 5226]","[7426, 3715, 915, 1473, 5314, 4002, 3832, 3455, 2912, 3743]"
достижения в искусственном интеллекте,[1349],1,"[7463, 7316, 76, 4750, 5761, 2641, 7354, 2509, 4696, 507, 3014, 2077, 7363, 2482, 2486, 7898, 6134, 7314, 2357, 4904]","[7463, 7316, 76, 4750, 5761, 2641, 7354, 2509, 4696, 507]","[2486, 7463, 4490, 4696, 7316, 7354, 7589, 7363, 2368, 2482, 4915, 7351, 2151, 3200, 1254, 76, 1539, 2985, 7666, 1657]","[2486, 7463, 4490, 4696, 7316, 7354, 7589, 7363, 2368, 2482]","[7463, 7316, 4915, 7363, 1527, 7354, 2151, 1175, 4696, 76, 3566, 1254, 2486, 2623, 3200, 2641, 263, 2482, 6018, 4490]","[7463, 7316, 4915, 7363, 1527, 7354, 2151, 1175, 4696, 76]"
архозавры,"[4347, 5133, 5735]",3,"[4347, 5133, 1667, 2613, 5148, 3878, 1242, 6775, 332, 46, 2532, 7250, 5482, 1141, 6141, 1160, 4945, 8015, 4360, 3917]","[4347, 5133, 1667, 2613, 5148, 3878, 1242, 6775, 332, 46]","[1667, 4347, 6141, 5133, 7250, 46, 5721, 151, 2532, 8173, 3917, 8040, 1141, 3630, 2613, 2715, 5315, 922, 4603, 379]","[1667, 4347, 6141, 5133, 7250, 46, 5721, 151, 2532, 8173]","[1667, 46, 6141, 4347, 1194, 2678, 5315, 332, 2853, 1141, 1947, 8173, 2532, 3878, 8040, 7430, 817, 2950, 6071, 6775]","[1667, 46, 6141, 4347, 1194, 2678, 5315, 332, 2853, 1141]"
инновации в горнодобывающей промышленности,[4507],1,"[2762, 6065, 2799, 5002, 5114, 3358, 5874, 2063, 4640, 5562, 3091, 5766, 5682, 4652, 159, 2461, 917, 7538, 5903, 2445]","[2762, 6065, 2799, 5002, 5114, 3358, 5874, 2063, 4640, 5562]","[3558, 6099, 6065, 6128, 3358, 5766, 4484, 5682, 2799, 482, 3038, 2063, 6488, 5002, 580, 1185, 3091, 6399, 7527, 2259]","[3558, 6099, 6065, 6128, 3358, 5766, 4484, 5682, 2799, 482]","[5682, 6065, 2228, 3358, 5766, 2063, 6099, 2833, 3127, 5002, 1185, 7527, 3601, 6801, 3889, 4652, 6601, 5874, 6480, 1907]","[5682, 6065, 2228, 3358, 5766, 2063, 6099, 2833, 3127, 5002]"
астрономические события в космосе,[2392],1,"[1447, 1626, 2251, 2189, 3664, 2733, 1585, 1157, 2650, 1866, 2859, 562, 2241, 6374, 2663, 3097, 5877, 2758, 6901, 2651]","[1447, 1626, 2251, 2189, 3664, 2733, 1585, 1157, 2650, 1866]","[2241, 3664, 3578, 2189, 7811, 2651, 2996, 5672, 174, 7822, 562, 1626, 5885, 2701, 1189, 1832, 2597, 3616, 6542, 1069]","[2241, 3664, 3578, 2189, 7811, 2651, 2996, 5672, 174, 7822]","[7811, 3578, 2996, 174, 2859, 3664, 5040, 1585, 2241, 2251, 1866, 2189, 2754, 5434, 67, 562, 5481, 7849, 2744, 2663]","[7811, 3578, 2996, 174, 2859, 3664, 5040, 1585, 2241, 2251]"
противоречия естественному отбор,[4382],1,"[3198, 3934, 5791, 3878, 3449, 4356, 7779, 388, 6515, 5606, 7084, 1776, 982, 232, 8237, 5352, 4934, 1871, 8236, 4241]","[3198, 3934, 5791, 3878, 3449, 4356, 7779, 388, 6515, 5606]","[3198, 6933, 982, 6942, 5269, 5958, 2830, 3934, 4241, 7172, 6515, 8190, 689, 3449, 3135, 4917, 8236, 7426, 8020, 1776]","[3198, 6933, 982, 6942, 5269, 5958, 2830, 3934, 4241, 7172]","[3198, 6515, 4356, 7084, 6547, 3219, 7339, 8141, 3135, 323, 8190, 5791, 2266, 5606, 6407, 6444, 7426, 5269, 689, 5539]","[3198, 6515, 4356, 7084, 6547, 3219, 7339, 8141, 3135, 323]"
акула,"[3133, 5108, 7302, 7708, 7752, 8047]",6,"[7900, 4548, 7708, 7915, 7752, 5472, 5865, 8047, 6271, 6589, 6324, 3381, 4407, 6136, 5153, 4561, 4590, 498, 3843, 8149]","[7900, 4548, 7708, 7915, 7752, 5472, 5865, 8047, 6271, 6589]","[7900, 7708, 2390, 7915, 6570, 6635, 8149, 4407, 1382, 8047, 498, 6589, 4561, 5214, 5472, 5705, 5721, 6324, 1281, 6136]","[7900, 7708, 2390, 7915, 6570, 6635, 8149, 4407, 1382, 8047]","[7900, 6589, 3725, 4548, 4424, 3381, 8149, 7115, 4561, 6570, 7752, 1382, 7708, 5472, 4426, 3010, 223, 8047, 6404, 1319]","[7900, 6589, 3725, 4548, 4424, 3381, 8149, 7115, 4561, 6570]"
роль сусликов в восстановлении экосистемы,[2519],1,"[2519, 2338, 3596, 7211, 8149, 5987, 7595, 7189, 5840, 6880, 7277, 3899, 1382, 7018, 7885, 7698, 4613, 8183, 7881, 7069]","[2519, 2338, 3596, 7211, 8149, 5987, 7595, 7189, 5840, 6880]","[2519, 3596, 7704, 3961, 6143, 2338, 5641, 7672, 7018, 1884, 8124, 3899, 7452, 7408, 4249, 3731, 7189, 3755, 1146, 2347]","[2519, 3596, 7704, 3961, 6143, 2338, 5641, 7672, 7018, 1884]","[2338, 3961, 6865, 2519, 7452, 4902, 3899, 8124, 7069, 7408, 880, 8183, 8149, 7211, 7672, 3585, 6826, 7698, 7704, 7226]","[2338, 3961, 6865, 2519, 7452, 4902, 3899, 8124, 7069, 7408]"
исследования российских ученых,[3189],1,"[4484, 8079, 1846, 6276, 1632, 7248, 6671, 247, 5460, 2031, 3910, 1576, 6571, 4169, 4942, 1748, 7239, 6736, 2693, 1252]","[4484, 8079, 1846, 6276, 1632, 7248, 6671, 247, 5460, 2031]","[1121, 1846, 247, 4236, 4942, 1576, 7072, 2018, 1632, 6276, 1252, 4169, 1841, 2175, 1014, 2693, 387, 7239, 5403, 842]","[1121, 1846, 247, 4236, 4942, 1576, 7072, 2018, 1632, 6276]","[1846, 2018, 4484, 1121, 7072, 1576, 4236, 7239, 6276, 1632, 1252, 1851, 4942, 628, 842, 5403, 1841, 4169, 247, 3629]","[1846, 2018, 4484, 1121, 7072, 1576, 4236, 7239, 6276, 1632]"
термодинамическое моделирование в аналитической химии,[2397],1,"[4311, 7396, 2161, 7552, 6616, 96, 925, 471, 1587, 1016, 5613, 5704, 676, 6614, 2832, 6927, 1393, 4780, 5458, 5785]","[4311, 7396, 2161, 7552, 6616, 96, 925, 471, 1587, 1016]","[2397, 1514, 2459, 7793, 1393, 460, 2832, 428, 4311, 5793, 5752, 1587, 2081, 1282, 1429, 471, 4555, 2071, 5827, 6660]","[2397, 1514, 2459, 7793, 1393, 460, 2832, 428, 4311, 5793]","[2459, 1587, 2832, 2397, 2001, 5752, 1111, 4555, 2173, 2071, 460, 7423, 676, 1514, 5433, 7552, 4323, 2255, 5613, 5785]","[2459, 1587, 2832, 2397, 2001, 5752, 1111, 4555, 2173, 2071]"
статьи о пользе клубники для пожилых людей,[5836],1,"[5836, 6278, 3406, 1129, 5780, 5479, 465, 2080, 7909, 5983, 4922, 1934, 5307, 799, 3951, 8119, 5232, 701, 4479, 5462]","[5836, 6278, 3406, 1129, 5780, 5479, 465, 2080, 7909, 5983]","[5836, 687, 3951, 980, 6886, 3872, 1848, 7907, 6788, 6278, 3184, 7771, 4922, 4509, 7030, 6139, 5307, 799, 7407, 181]","[5836, 687, 3951, 980, 6886, 3872, 1848, 7907, 6788, 6278]","[5836, 3951, 6278, 1934, 3872, 687, 4955, 2080, 799, 7771, 4931, 356, 4479, 7030, 3244, 3281, 980, 6139, 1129, 682]","[5836, 3951, 6278, 1934, 3872, 687, 4955, 2080, 799, 7771]"
исследования в области психологии памяти,[3161],1,"[6507, 2774, 5780, 1928, 7675, 4620, 1522, 7071, 3835, 1856, 6169, 293, 3092, 1496, 5825, 4599, 963, 1317, 3882, 5574]","[6507, 2774, 5780, 1928, 7675, 4620, 1522, 7071, 3835, 1856]","[6507, 293, 1856, 3835, 1928, 1931, 7071, 924, 6519, 3147, 3882, 6032, 234, 1020, 4081, 4599, 1873, 1522, 5780, 5825]","[6507, 293, 1856, 3835, 1928, 1931, 7071, 924, 6519, 3147]","[6032, 6507, 7071, 4184, 4297, 5601, 3882, 378, 1856, 3348, 6194, 2564, 3147, 5844, 5825, 7675, 293, 5353, 2947, 6297]","[6032, 6507, 7071, 4184, 4297, 5601, 3882, 378, 1856, 3348]"
статьи про качество спермы,[5792],1,"[4308, 7563, 4356, 7990, 1659, 5236, 982, 1341, 3219, 6998, 5792, 543, 5001, 6047, 1978, 4242, 2782, 5126, 6444, 3660]","[4308, 7563, 4356, 7990, 1659, 5236, 982, 1341, 3219, 6998]","[4308, 6786, 6444, 7990, 5236, 1978, 7563, 543, 2778, 4731, 2367, 3925, 4242, 6998, 3296, 4749, 5792, 5126, 727, 7298]","[4308, 6786, 6444, 7990, 5236, 1978, 7563, 543, 2778, 4731]","[4308, 7990, 5236, 521, 5126, 6785, 1977, 3534, 473, 6998, 3252, 7563, 4356, 543, 5792, 4828, 4370, 1420, 6707, 1304]","[4308, 7990, 5236, 521, 5126, 6785, 1977, 3534, 473, 6998]"
развитие инфраструктуры электромобилей в России,[5348],1,"[6525, 5348, 185, 5158, 2967, 4741, 531, 5695, 5508, 561, 5851, 1441, 400, 5611, 4024, 4507, 7551, 6429, 4484, 5703]","[6525, 5348, 185, 5158, 2967, 4741, 531, 5695, 5508, 561]","[5348, 1299, 5508, 561, 6525, 185, 1441, 531, 5851, 5158, 2967, 5695, 4741, 4604, 2734, 5405, 5894, 6429, 1049, 4024]","[5348, 1299, 5508, 561, 6525, 185, 1441, 531, 5851, 5158]","[5348, 5851, 6525, 561, 185, 531, 5158, 7711, 4741, 1049, 1441, 1299, 400, 5695, 5286, 1109, 5508, 3208, 5313, 2967]","[5348, 5851, 6525, 561, 185, 531, 5158, 7711, 4741, 1049]"
распознавание молекул белков,[6594],1,"[6594, 1995, 1047, 7803, 2349, 5698, 3253, 6523, 6322, 6476, 6885, 2238, 7182, 6602, 3801, 165, 2763, 7424, 2370, 6778]","[6594, 1995, 1047, 7803, 2349, 5698, 3253, 6523, 6322, 6476]","[6594, 8226, 557, 209, 1995, 7936, 240, 8050, 6062, 1726, 5796, 1047, 3253, 5269, 6602, 2238, 6476, 6523, 7803, 6299]","[6594, 8226, 557, 209, 1995, 7936, 240, 8050, 6062, 1726]","[1995, 6594, 209, 6531, 6062, 6602, 165, 6885, 6515, 3253, 2370, 1751, 6299, 557, 5796, 2349, 1245, 1047, 1282, 590]","[1995, 6594, 209, 6531, 6062, 6602, 165, 6885, 6515, 3253]"
статьи про имплантаты в мозг,[7604],1,"[4393, 4354, 6134, 7562, 7589, 2944, 543, 3348, 5652, 7898, 501, 2375, 5028, 4069, 3112, 5353, 1235, 886, 669, 5976]","[4393, 4354, 6134, 7562, 7589, 2944, 543, 3348, 5652, 7898]","[4354, 2375, 4393, 7562, 2944, 4416, 5093, 3348, 940, 1632, 2143, 5774, 5587, 5506, 5156, 2100, 1235, 1156, 8002, 1880]","[4354, 2375, 4393, 7562, 2944, 4416, 5093, 3348, 940, 1632]","[4354, 7562, 3348, 2944, 5093, 4393, 2375, 5506, 5423, 940, 4158, 2100, 4416, 5556, 4069, 5028, 5156, 722, 1632, 5587]","[4354, 7562, 3348, 2944, 5093, 4393, 2375, 5506, 5423, 940]"
атмосфера Юпитера,[103],1,"[7977, 7266, 103, 2028, 243, 8076, 6542, 3924, 1810, 6424, 4224, 4299, 6155, 1789, 700, 6563, 7643, 303, 5602, 5414]","[7977, 7266, 103, 2028, 243, 8076, 6542, 3924, 1810, 6424]","[7977, 103, 6424, 4224, 303, 2754, 1789, 6155, 7266, 5602, 1810, 6563, 1948, 7813, 2703, 700, 1376, 8076, 6542, 5414]","[7977, 103, 6424, 4224, 303, 2754, 1789, 6155, 7266, 5602]","[6573, 7977, 103, 7504, 6424, 4224, 174, 282, 700, 2754, 5602, 5858, 6584, 303, 4442, 6542, 6155, 3345, 2124, 5045]","[6573, 7977, 103, 7504, 6424, 4224, 174, 282, 700, 2754]"
инфекция,"[222, 291, 4027, 4518, 6217, 6610, 6983, 7084]",8,"[7204, 3607, 7806, 6291, 7814, 272, 7491, 7775, 6647, 6790, 4978, 4027, 2739, 7968, 2323, 3031, 6854, 7558, 4420, 529]","[7204, 3607, 7806, 6291, 7814, 272, 7491, 7775, 6647, 6790]","[494, 3607, 272, 6647, 6291, 3191, 7814, 3530, 4978, 7558, 3658, 4896, 6854, 4027, 8161, 3031, 3185, 5483, 5423, 6387]","[494, 3607, 272, 6647, 6291, 3191, 7814, 3530, 4978, 7558]","[7558, 144, 3185, 7814, 4978, 6647, 5338, 5423, 3115, 4449, 6291, 3607, 7122, 7952, 4896, 3191, 7992, 3658, 7544, 5058]","[7558, 144, 3185, 7814, 4978, 6647, 5338, 5423, 3115, 4449]"
возраст самцов панды,[3366],1,"[7518, 4765, 3366, 8133, 3796, 1690, 3463, 2262, 8179, 3978, 2498, 6800, 609, 7603, 86, 6958, 1583, 5816, 1223, 2908]","[7518, 4765, 3366, 8133, 3796, 1690, 3463, 2262, 8179, 3978]","[7518, 6800, 3463, 1206, 2908, 8179, 5816, 7070, 0, 7586, 4269, 3181, 7186, 6759, 1749, 1306, 6899, 609, 3366, 1815]","[7518, 6800, 3463, 1206, 2908, 8179, 5816, 7070, 0, 7586]","[7070, 2498, 1815, 2544, 7518, 201, 8179, 2908, 1206, 609, 3366, 2029, 6800, 5929, 3181, 7088, 4269, 7946, 5932, 497]","[7070, 2498, 1815, 2544, 7518, 201, 8179, 2908, 1206, 609]"
технологии обнаружения микротрещин,[2505],1,"[3785, 7807, 2007, 1933, 4242, 5747, 6531, 5387, 427, 4567, 541, 5445, 7527, 557, 3552, 7843, 6858, 8145, 4883, 6184]","[3785, 7807, 2007, 1933, 4242, 5747, 6531, 5387, 427, 4567]","[3785, 1309, 5387, 2742, 3437, 8145, 5747, 863, 6126, 112, 1933, 7843, 5677, 2488, 2296, 1570, 6158, 6531, 7066, 2010]","[3785, 1309, 5387, 2742, 3437, 8145, 5747, 863, 6126, 112]","[2776, 2317, 3785, 7843, 1570, 6531, 28, 3746, 8207, 2007, 6184, 2736, 2296, 7753, 6158, 8145, 5025, 1303, 2724, 5467]","[2776, 2317, 3785, 7843, 1570, 6531, 28, 3746, 8207, 2007]"
